data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2021,178981745,149282083,09A,C,35,,
2021,179622658,149834152,09A,C,35,,
2021,170339662,141720717,09A,C,35,,
2021,175617338,146331061,09A,C,35,,
2021,171463364,142704810,09A,C,35,,
2021,173045112,144077883,09A,C,35,,
2021,178987661,149287284,09A,C,25,,
2021,166401908,138290218,09A,C,25,,
2021,170345086,141725477,09A,C,8,,
2021,171496618,142733682,09A,C,25,,
2021,170345588,141725931,09A,C,35,,
2021,175619027,146332498,09A,C,8,,
2021,170346629,141726846,09A,C,25,,
2021,174375130,145249712,09A,C,35,,
2021,174375301,145249852,09A,C,25,,
2021,173047371,144079840,09A,C,35,,
2021,175618849,146332346,09A,C,25,,
2021,175855579,146535343,09A,C,35,,
2021,175854380,146534226,09A,C,25,,
2021,178988270,149287793,09A,C,25,,
2021,178987985,149287560,09A,C,25,,
2021,178988009,149287572,09A,C,14,,
2021,179621244,149832905,09A,C,35,,
2021,175617285,146331017,09A,C,25,,
2021,173043005,144076058,09A,C,25,,
2021,173043166,144076203,09A,C,25,,
2021,174373483,145248248,09A,C,25,,
2021,178987488,149287128,09A,C,25,,
2021,178987995,149287568,09A,C,25,,
2021,178988439,149287945,09A,C,32,,
2021,178997785,149295975,09A,C,25,,
2021,178999207,149297158,09A,C,35,,
2021,179000256,149298059,09A,C,1,,
2021,180848843,150896691,09A,C,35,,
2021,174373508,145248269,09A,C,25,,
2021,174373523,145248283,09A,C,25,,
2021,179001147,149298808,09A,C,35,,
2021,174373553,145248309,09A,C,25,,
2021,179001191,149298848,09A,C,25,,
2021,179000968,149298660,09A,C,35,,
2021,178987484,149287122,09A,C,25,,
2021,179001023,149298705,09A,C,25,,
2021,179001047,149298725,09A,C,25,,
2021,179001066,149298743,09A,C,25,,
2021,179001099,149298770,09A,C,25,,
2021,179001129,149298796,09A,C,25,,
2021,179001199,149298855,09A,C,25,,
2021,179001221,149298876,09A,C,25,,
2021,179001256,149298899,09A,C,25,,
2021,179001285,149298931,09A,C,25,,
2021,179001305,149298947,09A,C,25,,
2021,174373398,145248172,09A,C,25,,
2021,174373526,145248285,09A,C,25,,
2021,179001316,149298957,09A,C,25,,
2021,179001031,149298712,09A,C,25,,
2021,179001060,149298735,09A,C,25,,
2021,174373621,145248368,09A,C,25,,
2021,174373766,145248493,09A,C,25,,
2021,174374289,145248963,09A,C,25,,
2021,174374341,145249009,09A,C,25,,
2021,167779773,139488748,09A,C,35,,
2021,170345208,141725588,09A,C,25,,
2021,176536353,147140106,09A,C,35,,
2021,176536442,147140187,09A,C,35,,
2021,166396774,138285718,09A,C,98,,
2021,180845696,150893999,09A,C,35,,
2021,180845762,150894058,09A,C,33,,
2021,167779587,139488589,09A,C,35,,
2021,175854090,146533959,09A,C,25,,
2021,174372619,145247446,09A,C,25,,
2021,178979263,149279893,09A,C,35,,
2021,169072610,140614645,09A,C,33,,
2021,175618319,146331893,09A,C,33,,
2021,176141989,146786600,09A,C,35,,
2021,179623107,149834544,09A,C,35,,
2021,180846040,150894311,09A,C,25,,
2021,175620904,146334156,09A,C,35,,
2021,166403169,138291338,09A,C,35,,
2021,171495443,142732668,09A,C,25,,
2021,171495147,142732397,09A,C,25,,
2021,166405953,138293828,09A,C,25,,
2021,171495483,142732682,09A,C,25,,
2021,171495403,142732628,09A,C,25,,
2021,170347657,141727750,09A,C,25,,
2021,171495646,142732842,09A,C,25,,
2021,174373251,145248034,09A,C,25,,
2021,176537235,147140892,09A,C,25,,
2021,171500200,142736812,09A,C,25,,
2021,171501858,142738280,09A,C,35,,
2021,173045789,144078463,09A,C,35,,
2021,173047134,144079621,09A,C,25,,
2021,173050259,144082438,09A,C,25,,
2021,176537585,147141200,09A,C,25,,
2021,176537563,147141174,09A,C,25,,
2021,174379154,145253282,09A,C,25,,
2021,174380403,145254440,09A,C,25,,
2021,174380660,145254673,09A,C,35,,
2021,174381002,145254982,09A,C,25,,
2021,176538988,147142451,09A,C,33,,
2021,177344056,147845407,09A,C,25,,
2021,177344281,147845609,09A,C,25,,
2021,169069981,140612392,09A,C,35,,
2021,180846163,150894421,09A,C,35,,
2021,180846793,150894991,09A,C,25,,
2021,176140444,146785235,09A,C,35,,
2021,174374259,145248939,09A,C,35,,
2021,177339673,147841621,09A,C,33,,
2021,173041880,144075044,09A,C,35,,
2021,176140602,146785365,09A,C,33,,
2021,179621352,149833007,09A,C,35,,
2021,171492732,142730287,09A,C,35,,
2021,169071670,140613840,09A,C,35,,
2021,180847202,150895345,09A,C,35,,
2021,171494860,142732146,09A,C,33,,
2021,180847356,150895475,09A,C,35,,
2021,178981664,149282005,09A,C,35,,
2021,178982312,149282596,09A,C,25,,
2021,180850671,150898292,09A,C,25,,
2021,175613771,146327941,09A,C,26,,
2021,174365940,145241511,09A,C,33,,
2021,178986088,149285875,09A,C,25,,
2021,178986346,149286095,09A,C,25,,
2021,178999900,149297748,09A,C,25,,
2021,179000658,149298395,09A,C,33,,
2021,179002505,149299996,09A,C,25,,
2021,179619634,149831455,09A,C,25,,
2021,179002862,149300322,09A,C,25,,
2021,179004100,149301453,09A,C,35,,
2021,179004562,149301872,09A,C,25,,
2021,180849004,150896824,09A,C,35,,
2021,178980900,149281311,09A,C,35,,
2021,180846678,150894891,09A,C,35,,
2021,178980111,149280620,09A,C,35,,
2021,174369236,145244448,09A,C,35,,
2021,179619834,149831626,09A,C,32,,
2021,179622285,149833828,09A,C,35,,
2021,178991959,149290946,09A,C,98,,
2021,174377276,145251602,09A,C,25,,
2021,179622854,149834318,09A,C,25,,
2021,179622503,149834017,09A,C,25,,
2021,179622674,149834167,09A,C,35,,
2021,180848248,150896224,09A,C,25,,
2021,180848559,150896459,09A,C,35,,
